,categoria,titulo,href,fecha,title
35,Política,Keiko Fujimori: audiencia de prisión preventiva continuará este sábado ,/peru/politica/keiko-fujimori-audiencia-de-prision-preventiva-continuara-este-sabado-giulliana-loza-nndc-noticia/,2020-01-03,Keiko Fujimori: preventive detention hearing will continue this Saturday
36,Economía,"MEF y gobiernos regionales apuntan a ejecutar S/ 1,416 millones en obras públicas en primer trimestre ",/economia/mef-y-gobiernos-regionales-apuntan-a-ejecutar-s-1416-millones-en-obras-publicas-en-primer-trimestre-maria-antonieta-alva-inversion-publica-nndc-noticia/,2020-01-03,"MEF and regional governments aim to execute S/ 1,416 million in public works in the first quarter"
37,Economía,Riesgo país de Perú bajó un punto básico y cerró en 0.93 puntos porcentuales,/economia/riesgo-pais-de-peru-bajo-un-punto-basico-y-cerro-en-093-puntos-porcentuales-noticia/,2020-01-03,Peru's country risk fell one basis point and closed at 0.93 percentage points
38,Mundo,Reportan nuevo ataque aéreo de Estados Unidos cerca de Bagdad contra convoy de milicia iraquí,/mundo/reportan-nuevo-ataque-aereo-de-estados-unidos-cerca-de-bagdad-contra-convoy-de-milicia-iraqui-taji-nndc-noticia/,2020-01-03,New US airstrike reported near Baghdad on Iraqi militia convoy
39,Mercados,El dólar se dispara en Venezuela y crece un 30.6% frente al bolívar en las primeras jornadas del año,/economia/mercados/dolartoday-venezuela-el-precio-del-dolar-en-venezuela-hoy-viernes-3-de-enero-del-2020-el-dolar-se-dispara-en-venezuela-y-crece-un-306-frente-al-bolivar-en-las-primeras-jornadas-del-ano-dolarmonitor-tipo-de-cambio-usd-a-bolivares-venezolanos-interbanex-nicolas-maduro-estados-unidos-nndc-noticia/,2020-01-03,The dollar shoots up in Venezuela and grows 30.6% against the bolivar in the first days of the year
40,Economía,Finanzas personales: doce recomendaciones para mejorar la economía familiar este 2020 | FOTOS,/economia/finanzas-personales-doce-recomendaciones-para-mejorar-la-economia-familiar-este-2020-fotos-nndc-noticia/,2020-01-03,Personal finances: twelve recommendations to improve the family economy this 2020 | PHOTOS
41,Política,Elecciones 2020: Fuerza Popular insiste en solicitar suspensión del voto electrónico,/peru/politica/elecciones-2020-fuerza-popular-insiste-en-solicitar-al-jne-la-suspension-del-voto-electronico-nndc-noticia/,2020-01-03,Elections 2020: Popular Force insists on requesting suspension of electronic voting
42,Empresas,Jueza de EE.UU. aparta a Meliá de una demanda por su uso de hoteles en Cuba,/economia/empresas/jueza-de-eeuu-aparta-a-melia-de-una-demanda-por-su-uso-de-hoteles-en-cuba-ley-helms-burton-noticia/,2020-01-03,US judge separates Meliá from a lawsuit for its use of hotels in Cuba
43,Mundo,"MQ-9 Reaper, el dron estadounidense que acabó con la vida del general iraní Qasem Soleimani",/mundo/mq-9-reaper-el-dron-estadounidense-encargado-de-la-muerte-del-general-irani-qasem-soleimani-video-nndc-noticia/,2020-01-03,"MQ-9 Reaper, the US drone that killed Iranian General Qasem Soleimani"
44,Política,Elecciones 2020: ONPE lanza aplicación para capacitar a miembros de mesa vía smartphones,/peru/politica/elecciones-2020-onpe-lanza-aplicacion-para-capacitar-a-miembros-de-mesa-via-smartphones-noticia/,2020-01-03,Elections 2020: ONPE launches application to train polling station members via smartphones
45,Economía,Salario mínimo en Venezuela es de solo US$ 2 tras fuerte subida del dólar,/economia/salario-minimo-en-venezuela-es-de-solo-us-2-tras-fuerte-subida-del-dolar-nndc-noticia/,2020-01-03,Minimum wage in Venezuela is only US $ 2 after strong rise in the dollar
46,Empresas,Tesla rebaja el precio de su Modelo 3 hecho en China antes de entrega,/economia/empresas/tesla-rebaja-el-precio-de-su-modelo-3-hecho-en-china-antes-de-entrega-noticia/,2020-01-03,Tesla cuts the price of its Model 3 made in China before delivery
47,Política,Caso Gasoducto: Plazo de investigación preliminar contra Nadine Heredia vence la primera semana de febrero,/peru/politica/caso-gasoducto-plazo-de-investigacion-preliminar-contra-nadine-heredia-vence-la-primera-semana-de-febrero-noticia/,2020-01-03,Gas Pipeline Case: Preliminary investigation period against Nadine Heredia expires the first week of February
48,Empresas,Natura concluye compra de Avon y crea la cuarta mayor firma de belleza de mundo,/economia/empresas/natura-concluye-compra-de-avon-y-crea-la-cuarta-mayor-firma-de-belleza-de-mundo-noticia/,2020-01-03,Natura concludes purchase of Avon and creates the fourth largest beauty firm in the world
49,Mundo,"MQ-9 Reaper, el verdugo estadounidense que viene desde el cielo",/mundo/mq-9-reaper-el-verdugo-estadounidense-que-viene-desde-el-cielo-soleimani-noticia/,2020-01-03,"MQ-9 Reaper, the American executioner that comes from the sky"
50,Mercados,Tipo de cambio cerró al alza tras ataque de Estados Unidos en Irak,/economia/mercados/tipo-de-cambio-cerro-al-alza-tras-ataque-de-estados-unidos-en-irak-nndc-noticia/,2020-01-03,Exchange rate closed higher after US attack in Iraq
51,Mundo,Bolsonaro dice esperar que normas argentinas no afecten comercio con Brasil,/mundo/bolsonaro-dice-esperar-que-normas-argentinas-no-afecten-comercio-con-brasil-noticia/,2020-01-03,Bolsonaro says he hopes that Argentine regulations do not affect trade with Brazil
52,Mundo,Crece 26% la mortalidad infantil en Cuba en el 2019,/mundo/crece-26-la-mortalidad-infantil-en-cuba-en-el-2019-mortalidad-infantil-noticia/,2020-01-03,Infant mortality grows 26% in Cuba in 2019
53,Empresas,Samsung vendió 6.7 millones de móviles 5G en el mundo en el 2019,/economia/empresas/samsung-vendio-67-millones-de-moviles-5g-en-el-mundo-en-el-2019-noticia/,2020-01-03,Samsung sold 6.7 million 5G phones worldwide in 2019
54,Mundo,López Obrador: A México le tomará tiempo ser autosuficiente en gas natural,/mundo/lopez-obrador-a-mexico-le-tomara-tiempo-ser-autosuficiente-en-gas-natural-noticia/,2020-01-03,López Obrador: It will take time for Mexico to be self-sufficient in natural gas
55,Política,Aldo Vásquez: “Miembros de la JNJ estamos en la obligación de dar explicaciones a la ciudadanía”,/peru/politica/aldo-vasquez-miembros-de-la-jnj-estamos-en-la-obligacion-de-dar-explicaciones-a-la-ciudadania-nndc-noticia/,2020-01-03,"Aldo Vásquez: ""Members of the JNJ are obliged to explain to citizens"""
56,Política,TC: este lunes 6 se presentará ponencia por demanda competencial tras disolución del Congreso,/peru/politica/disolucion-del-congreso-este-lunes-6-se-presentara-ponencia-en-el-tc-por-demanda-competencial-nndc-noticia/,2020-01-03,"TC: this Monday the 6th, a presentation will be presented for a competence claim after the dissolution of Congress"
57,Política,Elecciones 2020: ciudadanos podrán formular preguntas en debates de candidatos,/peru/politica/elecciones-2020-ciudadanos-podran-formular-preguntas-en-debates-de-candidatos-nndc-noticia/,2020-01-04,Elections 2020: citizens will be able to ask questions in candidate debates
58,Mundo,China suprime restricciones a las inversiones extranjeras en el sector financiero,/mundo/guerra-comercial-china-suprime-restricciones-a-las-inversiones-extranjeras-en-el-sector-financiero-nndc-noticia/,2020-01-04,China lifts restrictions on foreign investment in financial sector
59,Política,"Loza: “tesis de la fiscalía no reviste relevancia penal, sino aspectos de carácter administrativo”",/peru/politica/keiko-fujimori-giulliana-loza-tesis-de-la-fiscalia-no-reviste-relevancia-penal-sino-aspectos-de-caracter-administrativo-nndc-noticia/,2020-01-04,"Loza: ""the prosecution's thesis does not have criminal relevance, but aspects of an administrative nature"""
60,Mundo,Miles se manifiestan en contra de la reforma de las pensiones en París | FOTOS,/mundo/francia-miles-se-manifiestan-en-contra-de-la-reforma-de-las-pensiones-en-paris-emmanuel-macron-fotos-nndc-noticia/,2020-01-04,Thousands demonstrate against pension reform in Paris | PHOTOS
61,Empresas,Gold’s Gym dejará de operar en el Perú a fines de enero y pasará a manos de Smart Fit,/economia/empresas/golds-gym-dejara-de-operar-en-el-peru-desde-el-31-de-enero-y-pasara-a-manos-de-smart-fit-nndc-noticia/,2020-01-04,Gold's Gym will cease to operate in Peru at the end of January and will pass into the hands of Smart Fit
62,Economía,"Venta de cuyes crecerá este año tras exoneración del IGV, estimó el Minagri",/economia/venta-de-cuyes-crecera-este-ano-tras-exoneracion-del-igv-estimo-el-minagri-noticia/,2020-01-04,"Sale of guinea pigs will grow this year after VAT exemption, Minagri estimated"
63,Mundo,Irán asegura que EE.UU. pidió que las represalias sean “proporcionales”,/mundo/qasem-soleimani-iran-asegura-que-estados-unidos-pidio-que-las-represalias-sean-proporcionadas-nndc-noticia/,2020-01-04,"Iran says the US called for retaliation to be ""proportionate"""
64,Política,JNJ: Falconí sostiene que sí cumplió requisito para recibir puntos extras en concurso  ,/peru/politica/jnj-falconi-sostiene-que-si-cumplio-requisito-para-recibir-puntos-extras-en-concurso-nndc-noticia/,2020-01-04,JNJ: Falconí maintains that he did meet the requirement to receive extra points in the contest
65,Política,Keiko Fujimori: audiencia de prisión preventiva culminará “a más tardar” el sábado 11 de enero,/peru/politica/keiko-fujimori-juez-suspende-audiencia-de-prision-preventiva-hasta-el-8-de-enero-nndc-noticia/,2020-01-04,"Keiko Fujimori: preventive detention hearing will end ""at the latest"" on Saturday, January 11"
66,Mercados,BCR: Riesgo país de Perú ya es el más bajo entre principales economías de América Latina,/economia/mercados/bcr-riesgo-pais-de-peru-es-el-mas-bajo-entre-principales-economias-de-america-latina-noticia/,2020-01-04,BCR: Peru's country risk is already the lowest among major Latin American economies
67,Mundo,Bagdad: Proyectiles impactan cerca a la embajada de Estados Unidos y a base aérea,/mundo/qasem-soleimani-irak-dos-proyectiles-impactan-en-la-zona-verde-de-bagdad-estados-unidos-nndc-noticia/,2020-01-04,Baghdad: Projectiles Hit Near US Embassy and Air Base
68,Mundo,¿Trump trastocó un elemento central de su política exterior y acercó a EE.UU. a una guerra?,/mundo/qasem-soleimani-donald-trump-trastoco-un-elemento-central-de-su-politica-exterior-y-acerco-a-estados-unidos-a-una-guerra-nndc-noticia/,2020-01-04,Has Trump upended a core element of his foreign policy and brought the US closer to war?
69,Política,JNJ: Marco Falconí obtuvo puntos adicionales pese a que no le correspondería según la ley,/peru/politica/jnj-miembro-electo-marco-falconi-obtuvo-puntos-extras-pese-a-que-no-le-correspondia-por-ley-junta-nacional-de-justicia-nndc-noticia/,2020-01-04,JNJ: Marco Falconí obtained additional points despite the fact that it would not correspond to him according to the law
70,Política,Elecciones 2020: JNE confirma exclusión de 5 candidatos por omisión de información,/peru/politica/elecciones-2020-jne-confirma-exclusion-de-5-candidatos-al-congreso-por-omision-de-informacion-nndc-noticia/,2020-01-04,Elections 2020: JNE confirms exclusion of 5 candidates due to omission of information
71,Mundo,Donald Trump tomó con el general Qasem Soleimani los riesgos que sus predecesores evitaron,/mundo/muerte-de-qasem-soleimani-donald-trump-tomo-con-el-general-irani-los-riesgos-que-sus-predecesores-evitaron-nndc-noticia/,2020-01-04,Donald Trump took with General Qasem Soleimani the risks that his predecessors avoided
72,Economía,Más de 26 millones de pasajeros nacionales e internacionales viajaron por vía aérea en 2019,/economia/mtc-mas-de-26-millones-de-pasajeros-nacionales-e-internacionales-viajaron-por-via-aerea-en-2019-nndc-noticia/,2020-01-04,More than 26 million national and international passengers traveled by air in 2019
73,Política,Kenji Fujimori: fiscalía pide 12 años de prisión por supuesta compra de votos,/peru/politica/kenji-fujimori-fiscalia-pide-12-anos-de-prision-por-supuesta-compra-de-votos-ppk-nndc-noticia/,2020-01-04,Kenji Fujimori: Prosecutor asks for 12 years in prison for alleged vote buying
74,Economía,Establecen límite para despedir a trabajadores por discapacidad física,/economia/establecen-limite-para-despedir-a-trabajadores-por-discapacidad-fisica-noticia/,2020-01-04,They establish a limit for dismissing workers due to physical disability
75,Economía,Galería Nicolini: demolición en suspenso pese a contar con peritaje favorable ¿A qué se debe? ,/economia/las-malvinas-galeria-nicolini-demolicion-en-suspenso-pese-a-contar-con-peritaje-favorable-a-que-se-debe-noticia/,2020-01-04,Nicolini Gallery: demolition on hold despite having a favorable expert opinion. Why is this?
76,Empresas,Este año comenzarán a operar nueve hoteles de alta gama en Lima,/economia/empresas/este-ano-comenzaran-a-operar-nueve-hoteles-de-alta-gama-en-lima-noticia/,2020-01-04,This year nine high-end hotels will start operating in Lima
77,Economía,Fondo de mayoría de afiliados de AFP obtiene rentabilidad más alta en 9 años,/economia/fondo-de-mayoria-de-afiliados-de-afp-obtiene-rentabilidad-mas-alta-en-9-anos-noticia/,2020-01-04,Fund of the majority of AFP affiliates obtains the highest return in 9 years
78,Política,Graña y Montero sabía de U$S 3 millones entregados a Ollanta Humala en 2011,/peru/politica/grana-y-montero-sabia-de-us-3-millones-entregados-a-ollanta-humala-en-2011-caso-gaseoducto-sur-peruano-odebrecht-nndc-noticia/,2020-01-05,Graña y Montero knew of US$3 million delivered to Ollanta Humala in 2011
79,Política,Marianella Ledesma: “Soy partidaria de que se postergue la juramentación de la JNJ”,/peru/politica/marianella-ledesma-soy-partidaria-de-que-se-postergue-la-juramentacion-de-la-jnj-nndc-noticia/,2020-01-05,"Marianella Ledesma: ""I am in favor of postponing the swearing-in of the JNJ"""
80,Política,Falconí: “Definitivamente no voy a renunciar a la Junta Nacional de Justicia”,/peru/politica/jnj-marco-tulio-falconi-definitivamente-no-voy-a-renunciar-a-la-junta-nacional-de-justicia-nndc-noticia/,2020-01-05,Falconí: “I am definitely not going to resign from the National Board of Justice”
81,Internacional,Guaidó es reelegido como presidente del Parlamento en una sesión paralela,/mundo/internacional/guaido-es-reelegido-como-presidente-del-parlamento-en-una-sesion-paralela-noticia/,2020-01-05,Guaidó is re-elected as President of Parliament in a parallel session
82,Internacional,Grupo de Lima rechaza la elección en la Asamblea Nacional de Venezuela,/mundo/internacional/grupo-de-lima-rechaza-la-eleccion-en-la-asamblea-nacional-de-venezuela-noticia/,2020-01-05,Lima Group rejects the election in the National Assembly of Venezuela
83,Política,Transparencia exhorta a Marco Tulio Falconí a renunciar a ser parte de la JNJ,/peru/politica/jnj-transparencia-exhorta-a-marco-tulio-falconi-a-renunciar-a-integrar-la-junta-nacional-de-justicia-nndc-noticia/,2020-01-05,Transparency urges Marco Tulio Falconí to resign from being part of the JNJ
84,Empresas,Machu Picchu: Ferrocarril Trasandino suspende servicio a ciudadela por crecida de río,/economia/empresas/cusco-machu-picchu-ferrocarril-trasandino-suspende-servicio-a-ciudadela-por-crecida-de-rio-perurail-rio-vilcanota-nndc-noticia/,2020-01-05,Machu Picchu: Trasandino Railway suspends service to citadel due to river flooding
85,Economía,"Produce establece en 64,000 toneladas el límite de captura de bonito para 2020",/economia/produce-establece-en-64000-toneladas-el-limite-de-captura-de-bonito-para-2020-nndc-noticia/,2020-01-05,"Produce sets the catch limit of bonito for 2020 at 64,000 tons"
86,Internacional,Guardias impidieron ingreso de Guaidó al Congreso,/mundo/internacional/guardias-impidieron-ingreso-de-guaido-al-congreso-noticia/,2020-01-05,Guards prevented Guaidó from entering Congress
87,Internacional,Jefe de OEA repudia “cualquier acción de usurpación” en Parlamento venezolano,/mundo/internacional/jefe-de-oea-repudia-cualquier-accion-de-usurpacion-en-parlamento-venezolano-noticia/,2020-01-05,"Head of the OAS repudiates ""any action of usurpation"" in the Venezuelan Parliament"
88,Política,Elecciones 2020: JNE definirá este lunes 6 orden de partidos para debate de candidatos,/peru/politica/elecciones-2020-jne-definira-este-lunes-6-orden-de-partidos-para-debate-de-candidatos-nndc-noticia/,2020-01-05,Elections 2020: JNE will define this Monday 6 order of parties for candidate debate
89,Mundo,Venezuela: países se pronuncian en contra de la elección del nuevo presidente de la Asamblea Nacional,/mundo/venezuela-paises-se-pronuncian-en-contra-de-la-eleccion-del-nuevo-presidente-de-la-asamblea-nacional-que-reemplazara-a-juan-guido-nndc-noticia/,2020-01-05,Venezuela: countries speak out against the election of the new president of the National Assembly
90,Internacional,"Notre Dame de París espera decisión sobre tejado y aguja, afirma responsable",/mundo/internacional/notre-dame-de-paris-espera-decision-sobre-tejado-y-aguja-afirma-responsable-noticia/,2020-01-05,"Notre Dame de Paris awaits decision on roof and spire, says official"
91,Internacional,EE.UU. envía tropas a Oriente Medio y aumenta su ciberseguridad ante amenazas de Irán,/mundo/internacional/eeuu-envia-tropas-a-oriente-medio-y-aumenta-su-ciberseguridad-ante-amenazas-de-iran-noticia/,2020-01-05,The US sends troops to the Middle East and increases its cybersecurity against threats from Iran
92,Empresas,"La aplicación emiratí ToTok, sospechosa de espionaje, vuelve a Google",/economia/empresas/la-aplicacion-emirati-totok-sospechosa-de-espionaje-vuelve-a-google-noticia/,2020-01-05,"Emirati app ToTok, suspected of espionage, returns to Google"
93,Internacional,Diputado rival de Guaidó se autoproclama presidente del Parlamento de Venezuela,/mundo/internacional/diputado-rival-de-guaido-se-autoproclama-presidente-del-parlamento-de-venezuela-noticia/,2020-01-05,Guaidó's rival deputy proclaims himself president of the Venezuelan Parliament
94,Internacional,Piñera presenta reforma de la salud pública que beneficia a 14.5 millones,/mundo/internacional/pinera-presenta-reforma-de-la-salud-publica-que-beneficia-a-145-millones-noticia/,2020-01-05,Piñera presents public health reform that benefits 14.5 million
95,Política,Comisión Permanente: esta es la agenda que abordará en su sesión del lunes 6,/peru/politica/comision-permanente-del-congreso-esta-es-la-agenda-que-abordara-en-su-sesion-de-este-lunes-6-nndc-noticia/,2020-01-05,Permanent Commission: this is the agenda that will be addressed in its session on Monday 6
96,Internacional,Incendios en Australia matan a la mitad de los koalas clave para su supervivencia,/mundo/internacional/incendios-en-australia-matan-a-la-mitad-de-los-koalas-clave-para-su-supervivencia-noticia/,2020-01-05,Fires in Australia kill half of the koalas key to their survival
97,Política,PCM: delegan facultades y atribuciones a diversos funcionarios ,/peru/politica/pcm-delegan-facultades-y-atribuciones-a-diversos-funcionarios-noticia/,2020-01-05,PCM: delegate powers and attributions to various officials
98,Empresas,Japón tomará “las medidas necesarias” para que Ghosn sea juzgado en ese país ,/economia/empresas/japon-tomara-las-medidas-necesarias-para-que-ghosn-sea-juzgado-en-ese-pais-noticia/,2020-01-05,"Japan will take ""the necessary measures"" so that Ghosn is tried in that country"
99,Mundo,Piñera envía proyecto para recortar costos en salud en Chile tras ola de protestas,/mundo/sebastian-pinera-envia-al-congreso-proyecto-para-recortar-costos-en-salud-en-chile-tras-ola-de-protestas-nndc-noticia/,2020-01-05,Piñera sends project to cut health costs in Chile after wave of protests
100,Empresas,Aramco cierra en su valor más bajo desde su salida a Bolsa por la tensión regional ,/economia/empresas/aramco-cierra-en-su-valor-mas-bajo-desde-su-salida-a-bolsa-por-la-tension-regional-noticia/,2020-01-05,Aramco closes at its lowest value since its IPO due to regional tension
